arabidopsis_thaliana	populus_trichocarpa
AT2G22100	Potri.006G146200
AT5G27710	Potri.013G017100
AT2G15980	Potri.009G110400
AT2G40935	Potri.006G024900
AT1G02870	Potri.014G130400
AT5G38890	Potri.013G050400
AT1G21790	Potri.005G178200
ATCG00530	Potri.016G094100
AT5G51220	Potri.003G151600
AT5G09310	Potri.007G106200
AT4G32590	Potri.006G247300
AT4G08940	Potri.002G097900
AT1G63260	Potri.001G107200
AT4G39320	Potri.019G009900
AT2G38025	Potri.016G110400
AT1G36370	Potri.005G170800
AT2G42975	Potri.005G204200
AT1G09680	Potri.017G131400
AT4G34730	Potri.004G164200
AT1G23890	Potri.017G129500
AT3G59710	Potri.013G127700
AT1G07980	Potri.009G012300
AT2G30695	Potri.013G125500
AT2G15570	Potri.009G100700
AT1G52590	Potri.008G213200
AT4G03620	Potri.011G091700
AT5G14080	Potri.001G326800
AT1G60000	Potri.010G065600
AT1G21600	Potri.002G078900
AT4G22000	Potri.015G012700
AT3G23255	Potri.003G163500
AT5G14140	Potri.001G329300
AT3G11591	Potri.008G011620
AT5G57820	Potri.001G042000
AT3G54770	Potri.010G216800
AT4G24130	Potri.003G146400
AT1G70900	Potri.010G111300
AT5G54855	Potri.011G137100
AT4G21330	Potri.004G029800
AT2G43770	Potri.019G096900
AT4G10465	Potri.011G149500
AT1G33250	Potri.011G147300
AT5G12440	Potri.009G050600
AT5G58005	Potri.018G109400
AT5G14460	Potri.001G343100
AT3G09650	Potri.016G085300
AT1G07970	Potri.009G014900
AT5G62420	Potri.001G125400
AT1G13330	Potri.010G127101
AT3G43340	Potri.010G226901
AT1G71780	Potri.002G062300
AT2G33630	Potri.002G005201
AT3G19320	Potri.009G098601
AT1G28690	Potri.004G054000
AT3G14580	Potri.001G379500
AT1G79760	Potri.011G047800
AT2G45500	Potri.014G071900
AT5G24460	Potri.015G002500
AT2G33385	Potri.010G067100
AT5G58210	Potri.018G151900
AT2G42770	Potri.010G032900
AT1G77122	Potri.002G071700
AT3G48900	Potri.015G142800
AT4G11400	Potri.003G129800
AT5G48180	Potri.014G168300
AT3G16890	Potri.010G141201
AT1G30950	Potri.003G074100
AT4G22260	Potri.011G021800
AT4G12760	Potri.014G197700
AT1G07020	Potri.009G077700
AT5G42330	Potri.005G250800
AT4G31360	Potri.018G004901
AT5G51120	Potri.015G110800
ATCG00440	Potri.013G163000
AT3G14410	Potri.001G394500
AT2G34860	Potri.001G009800
AT3G61770	Potri.002G171300
AT4G27670	Potri.012G022400
AT2G39120	Potri.008G036600
AT5G37690	Potri.017G130100
AT1G65420	Potri.008G076900
AT3G26710	Potri.001G463200
AT1G54410	Potri.019G038352
AT5G41450	Potri.003G184800
AT5G06550	Potri.016G065400
AT1G67700	Potri.010G053600
AT3G58800	Potri.002G168500
AT3G26085	Potri.008G181400
AT4G33495	Potri.015G141700
AT1G27530	Potri.002G107600
AT4G26370	Potri.003G222900
AT5G48470	Potri.002G251400
AT5G67640	Potri.007G006000
AT5G39860	Potri.017G081300
AT5G04730	Potri.008G023700
AT3G21870	Potri.007G121500
AT3G51980	Potri.003G158701
AT5G50410	Potri.015G096000
AT1G13040	Potri.008G185000
AT5G57790	Potri.018G099301
AT4G25270	Potri.015G128800
AT5G53070	Potri.012G121228
AT4G10910	Potri.001G089000
AT3G61960	Potri.014G107000
AT5G40440	Potri.001G345500
AT3G12650	Potri.009G063700
AT1G31050	Potri.008G142700
AT2G27970	Potri.009G004000
AT4G38020	Potri.005G147600
AT3G12210	Potri.002G114400
AT3G17310	Potri.010G152200
AT1G79260	Potri.010G175600
AT5G57170	Potri.006G075100
AT5G19590	Potri.006G158952
AT1G16790	Potri.010G254100
AT4G38495	Potri.016G127200
AT5G20850	Potri.006G135200
AT5G53490	Potri.012G018100
AT4G27250	Potri.001G415500
