Gene,Arabidopsis,best_arabi_defline
Potri.001G000400,AT1G06515,Protein of unknown function (DUF3317)
Potri.001G000450,,
Potri.001G000500,AT3G13400,SKU5  similar 13
Potri.001G000600,AT3G13400,SKU5  similar 13
Potri.001G000700,AT2G32080,purin-rich alpha 1
Potri.001G000800,AT1G55550,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G000800,AT1G55550,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G000800,AT1G55550,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G000800,AT1G55550,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G000800,AT1G55550,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G000800,AT1G55550,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G000900,AT3G13410,
Potri.001G000900,AT3G13410,
Potri.001G000900,AT3G13410,
Potri.001G000900,AT3G13410,
Potri.001G001000,,
Potri.001G001100,,
Potri.001G001201,,
Potri.001G001201,,
Potri.001G001250,,
Potri.001G001300,AT4G26410,Uncharacterised conserved protein UCP022280
Potri.001G001400,AT3G13420,
Potri.001G001500,AT4G26400,RING/U-box superfamily protein
Potri.001G001500,AT4G26400,RING/U-box superfamily protein
Potri.001G001600,AT4G26390,Pyruvate kinase family protein
Potri.001G001700,AT5G56360,calmodulin-binding protein
Potri.001G001700,AT5G56360,calmodulin-binding protein
Potri.001G002000,AT1G55500,evolutionarily conserved C-terminal region 4
Potri.001G002000,AT1G55500,evolutionarily conserved C-terminal region 4
Potri.001G002000,AT1G55500,evolutionarily conserved C-terminal region 4
Potri.001G002000,AT1G55500,evolutionarily conserved C-terminal region 4
Potri.001G002000,AT1G55500,evolutionarily conserved C-terminal region 4
Potri.001G002000,AT1G55500,evolutionarily conserved C-terminal region 4
Potri.001G002000,AT1G55500,evolutionarily conserved C-terminal region 4
Potri.001G002200,AT4G26330,Subtilisin-like serine endopeptidase family protein
Potri.001G002300,AT5G56460,Protein kinase superfamily protein
Potri.001G002350,,
Potri.001G002400,,
Potri.001G002500,AT1G55490,chaperonin 60 beta
Potri.001G002600,AT5G56510,pumilio 12
Potri.001G002600,AT5G56510,pumilio 12
Potri.001G002600,AT5G56510,pumilio 12
Potri.001G002700,,
Potri.001G002800,,
Potri.001G003000,,
Potri.001G003100,,
Potri.001G003200,AT4G04220,receptor like protein 46
Potri.001G003300,AT3G13480,
Potri.001G003400,,
Potri.001G003500,AT5G56520,
Potri.001G003632,,
Potri.001G003700,AT5G23710,DNA binding;DNA-directed RNA polymerases
Potri.001G003800,AT3G13510,Protein of Unknown Function (DUF239)
Potri.001G003900,AT1G55350,calpain-type cysteine protease family
Potri.001G003900,AT1G55350,calpain-type cysteine protease family
Potri.001G003900,AT1G55350,calpain-type cysteine protease family
Potri.001G003900,AT1G55350,calpain-type cysteine protease family
Potri.001G003900,AT1G55350,calpain-type cysteine protease family
Potri.001G004000,AT1G55340,Protein of unknown function (DUF1639)
Potri.001G004100,AT5G56540,arabinogalactan protein 14
Potri.001G004200,AT1G55325,RNA polymerase II transcription mediators
